fips,county,state,location,population
13049,Charlton,Georgia,Georgia-Charlton,12171
13051,Chatham,Georgia,Georgia-Chatham,265128
13053,Chattahoochee,Georgia,Georgia-Chattahoochee,11267
13055,Chattooga,Georgia,Georgia-Chattooga,26015
13057,Cherokee,Georgia,Georgia-Cherokee,214346
13059,Clarke,Georgia,Georgia-Clarke,116714
13061,Clay,Georgia,Georgia-Clay,3183
13063,Clayton,Georgia,Georgia-Clayton,259424
13065,Clinch,Georgia,Georgia-Clinch,6798
13067,Cobb,Georgia,Georgia-Cobb,688078
13069,Coffee,Georgia,Georgia-Coffee,42356
13071,Colquitt,Georgia,Georgia-Colquitt,45498
13073,Columbia,Georgia,Georgia-Columbia,124053
13075,Cook,Georgia,Georgia-Cook,17212
13077,Coweta,Georgia,Georgia-Coweta,127317
13079,Crawford,Georgia,Georgia-Crawford,12630
13081,Crisp,Georgia,Georgia-Crisp,23439
13083,Dade,Georgia,Georgia-Dade,16633
13085,Dawson,Georgia,Georgia-Dawson,22330
13087,Decatur,Georgia,Georgia-Decatur,27842
13089,DeKalb,Georgia,Georgia-DeKalb,691893
13091,Dodge,Georgia,Georgia-Dodge,21796
13093,Dooly,Georgia,Georgia-Dooly,14918
13095,Dougherty,Georgia,Georgia-Dougherty,94565
13097,Douglas,Georgia,Georgia-Douglas,132403
13099,Early,Georgia,Georgia-Early,11008
13101,Echols,Georgia,Georgia-Echols,4034
13103,Effingham,Georgia,Georgia-Effingham,52250
13105,Elbert,Georgia,Georgia-Elbert,20166
13107,Emanuel,Georgia,Georgia-Emanuel,22598
13109,Evans,Georgia,Georgia-Evans,11000
13111,Fannin,Georgia,Georgia-Fannin,23682
13113,Fayette,Georgia,Georgia-Fayette,106567
13115,Floyd,Georgia,Georgia-Floyd,96317
13117,Forsyth,Georgia,Georgia-Forsyth,175511
13119,Franklin,Georgia,Georgia-Franklin,22084
13121,Fulton,Georgia,Georgia-Fulton,920581
13123,Gilmer,Georgia,Georgia-Gilmer,28292
13125,Glascock,Georgia,Georgia-Glascock,3082
13127,Glynn,Georgia,Georgia-Glynn,79626
13129,Gordon,Georgia,Georgia-Gordon,55186
13131,Grady,Georgia,Georgia-Grady,25011
13133,Greene,Georgia,Georgia-Greene,15994
13135,Gwinnett,Georgia,Georgia-Gwinnett,805321
13137,Habersham,Georgia,Georgia-Habersham,43041
13139,Hall,Georgia,Georgia-Hall,179684
13141,Hancock,Georgia,Georgia-Hancock,9429
13143,Haralson,Georgia,Georgia-Haralson,28780
13145,Harris,Georgia,Georgia-Harris,32024
13147,Hart,Georgia,Georgia-Hart,25213
13149,Heard,Georgia,Georgia-Heard,11834
13151,Henry,Georgia,Georgia-Henry,203922
13153,Houston,Georgia,Georgia-Houston,139900
13155,Irwin,Georgia,Georgia-Irwin,9538
13157,Jackson,Georgia,Georgia-Jackson,60485
13159,Jasper,Georgia,Georgia-Jasper,13900
13161,Jeff Davis,Georgia,Georgia-Jeff Davis,15068
13163,Jefferson,Georgia,Georgia-Jefferson,16930
13165,Jenkins,Georgia,Georgia-Jenkins,8340
13167,Johnson,Georgia,Georgia-Johnson,9980
13169,Jones,Georgia,Georgia-Jones,28669
13171,Lamar,Georgia,Georgia-Lamar,18317
13173,Lanier,Georgia,Georgia-Lanier,10078
13175,Laurens,Georgia,Georgia-Laurens,48434
13177,Lee,Georgia,Georgia-Lee,28298
13179,Liberty,Georgia,Georgia-Liberty,63453
